Motivo,Fuente,Validación,Páginas
Página alternativa con etiqueta canónica adecuada,Sitio web,No iniciada,3037
Error de servidor (5xx),Sitio web,No iniciada,1404
No se ha encontrado (404),Sitio web,No iniciada,201
"Excluida por una etiqueta ""noindex""",Sitio web,No iniciada,130
Página con redirección,Sitio web,No iniciada,35
Duplicada: el usuario no ha indicado ninguna versión canónica,Sitio web,No iniciada,24
Soft 404,Sitio web,No iniciada,23
Se ha bloqueado debido a que el acceso no está permitido (403),Sitio web,No iniciada,1
Bloqueada por robots.txt,Sitio web,No iniciada,1
Rastreada: actualmente sin indexar,Sistemas de Google,No iniciada,5414
Descubierta: actualmente sin indexar,Sistemas de Google,No iniciada,194
Duplicada: Google ha elegido una versión canónica diferente a la del usuario,Sistemas de Google,N/D,0